DCM;-;0,911;00:00,0;;;;;;;;;;KNN;1;0,997;00:15,7;;KNN;1;0,998;00:15,4;;;;;;;;;;;;;;MLP;|[5; 5]|;0,995;15:14,2;12001;;;;;;;;;;;;;MLP;|[70; 70]|;22;0,99808;3:02:23.613907;14000;;;;;;;;;;KNN;1;22;0,99728;0:08:22.101573;;;;;;
DCM;-;0,917;00:00,0;;;;;;;;;;KNN;1;0,997;00:16,1;;KNN;1;0,995;00:15,5;;;;;;;;;;;;;;MLP;|[7; 7]|;0,998;37:33,3;5859;;;;;;;;;;;;;MLP;|[70; 70]|;23;0,99816;3:02:25.320024;14000;;;;;;;;;;KNN;1;23;0,9978;0:08:24.072417;;;;;;
DCM;-;0,902;00:00,0;;;;;;;;;;KNN;1;0,997;00:16,1;;KNN;1;0,996;00:15,7;;;;;;;;;;;;;;MLP;|[9; 9]|;0,995;48:17,7;7395;;;;;;;;;;;;;MLP;|[70; 70]|;24;0,99764;3:02:27.080504;14000;;;;;;;;;;KNN;1;24;0,99768;0:08:22.811883;;;;;;
DCM;-;0,899;00:00,0;;;;;;;;;;KNN;1;0,998;00:15,6;;KNN;1;0,998;00:15,8;;;;;;;;;;;;;;MLP;|[11; 11]|;0,997;17:03,8;12001;;;;;;;;;;;;;MLP;|[70; 70]|;25;0,99812;3:02:28.800561;14000;;;;;;;;;;KNN;1;25;0,99748;0:08:21.189033;;;;;;
DCM;-;0,918;00:00,0;;;;;;;;;;KNN;1;0,995;00:15,7;;KNN;1;0,994;00:15,6;;;;;;;;;;;;;;MLP;|[13; 13]|;0,996;45:51,3;6855;;;;;;;;;;;;;MLP;|[70; 70]|;26;0,99816;3:02:30.491641;14000;;;;;;;;;;KNN;1;26;0,99728;0:08:18.960127;;;;;;
DCM;-;0,895;00:00,0;;;;;;;;;;KNN;1;0,994;00:15,7;;KNN;1;0,997;00:15,6;;;;;;;;;;;;;;MLP;|[20; 20]|;0,997;19:58,4;12000;;;;;;;;;;;;;MLP;|[70; 70]|;27;0,99792;3:02:32.192636;14000;;;;;;;;;;KNN;1;27;0,99784;0:08:23.184964;;;;;;
DCM;-;0,911;00:00,0;;;;;;;;;;KNN;1;0,996;00:15,7;;KNN;1;0,995;00:15,6;;;;;;;;;;;;;;MLP;|[30; 30]|;0,995;14:32,6;10266;;;;;;;;;;;;;MLP;|[70; 70]|;28;0,99796;3:02:33.890398;14000;;;;;;;;;;KNN;1;28;0,99744;0:08:20.638468;;;;;;
DCM;-;0,909;00:00,0;;;;;;;;;;KNN;1;0,997;00:15,8;;KNN;1;0,997;00:15,5;;;;;;;;;;;;;;MLP;|[40; 40]|;0,999;33:03,7;12000;;;;;;;;;;;;;MLP;|[70; 70]|;29;0,99776;3:02:35.606760;14000;;;;;;;;;;KNN;1;29;0,99776;0:08:26.753360;;;;;;
DCM;-;0,889;00:00,0;;;;;;;;;;KNN;1;0,997;00:15,9;;KNN;1;0,999;00:15,6;;;;;;;;;;;;;;MLP;|[50; 50]|;0,997;08:23,0;8078;;;;;;;;;;;;;MLP;|[70; 70]|;30;0,99784;3:02:37.303928;14000;;;;;;;;;;KNN;1;30;0,99712;0:08:24.514178;;;;;;
DCM;-;0,911;00:00,0;;;;;;;;;;KNN;1;0,997;00:15,6;;KNN;1;0,996;00:15,6;;;;;;;;;;;;;;MLP;|[20; 20]|;0,999;05:31,2;9853;;;;;;;;;;;;;MLP;|[70; 70]|;31;0,99828;3:02:39.002049;14000;;;;;;;;;;KNN;1;31;0,99744;0:08:20.281560;;;;;;
DCM;-;0,904;00:00,0;;;;;;;;;;KNN;1;0,995;00:15,6;;KNN;1;0,998;00:15,5;;;;;;;;;;;;;;MLP;|[30; 30]|;0,994;26:22,9;12000;;;;;;;;;;;;;MLP;|[70; 70]|;32;0,99784;3:02:40.781870;14000;;;;;;;;;;KNN;1;32;0,99744;0:08:18.093691;;;;;;
DCM;-;0,905;00:00,0;;;;;;;;;;KNN;1;0,994;00:15,7;;KNN;1;0,998;00:15,6;;;;;;;;;;;;;;MLP;|[40; 40]|;0,991;16:27,4;2121;;;;;;;;;;;;;MLP;|[70; 70]|;33;0,998;3:02:42.469458;14000;;;;;;;;;;KNN;1;33;0,99776;0:08:30.422343;;;;;;
DCM;-;0,9;00:00,0;;;;;;;;;;KNN;1;0,997;00:15,7;;KNN;1;0,998;00:15,7;;;;;;;;;;;;;;MLP;|[50; 50]|;0,997;42:34,8;12000;;;;;;;;;;;;;MLP;|[70; 70]|;34;0,99832;3:02:44.162075;14000;;;;;;;;;;KNN;1;34;0,99768;0:08:19.319103;;;;;;
DCM;-;0,907;00:00,0;;;;;;;;;;KNN;1;0,994;00:15,7;;KNN;1;0,994;00:15,7;;;;;;;;;;;;;;MLP;|[60; 60]|;0,996;50:59,1;12000;;;;;;;;;;;;;MLP;|[70; 70]|;35;0,99816;3:02:45.859657;14000;;;;;;;;;;KNN;1;35;0,9978;0:08:19.717946;;;;;;
DCM;-;0,913;00:00,0;;;;;;;;;;KNN;1;0,993;00:15,8;;KNN;1;0,996;00:15,6;;;;;;;;;;;;;;MLP;|[70; 70]|;0,999;58:33,5;12000;;;;;;;;;;;;;MLP;|[70; 70]|;36;0,99772;3:02:47.581804;14000;;;;;;;;;;KNN;1;36;0,99748;0:08:20.034287;;;;;;
DCM;-;0,905;00:00,0;;;;;;;;;;KNN;1;0,999;00:16,0;;KNN;1;0,997;00:15,6;;;;;;;;;;;;;;MLP;|[80; 80]|;0,345;00:01,5;1;;;;;;;;;;;;;MLP;|[70; 70]|;37;0,99864;3:02:49.280803;14000;;;;;;;;;;KNN;1;37;0,99748;0:08:21.534090;;;;;;
DCM;-;0,903;00:00,0;;;;;;;;;;KNN;1;0,996;00:15,8;;KNN;1;0,997;00:15,5;;;;;;;;;;;;;;MLP;|[90; 90]|;0,182;03:55,4;335;;;;;;;;;;;;;MLP;|[70; 70]|;38;0,9978;3:02:50.985988;14000;;;;;;;;;;KNN;1;38;0,99732;0:08:16.949528;;;;;;
DCM;-;0,906;00:00,0;;;;;;;;;;KNN;1;0,996;00:15,9;;KNN;1;1;00:15,5;;;;;;;;;;;;;;MLP;|[60; 60]|;1;49:42,7;12000;;;;;;;;;;;;;MLP;|[70; 70]|;39;0,998;3:02:52.748849;14000;;;;;;;;;;KNN;1;39;0,99772;0:08:20.146967;;;;;;
DCM;-;0,901;00:00,0;;;;;;;;;;KNN;1;0,998;00:16,1;;KNN;1;0,996;00:16,0;;;;;;;;;;;;;;MLP;|[70; 70]|;0,999;59:06,7;12000;;;;;;;;;;;;;MLP;|[70; 70]|;40;0,99768;3:02:54.463862;14000;;;;;;;;;;KNN;1;40;0,99716;0:08:16.271250;;;;;;
